# Log Gross Income (lower edge), Log Gross Income (upper edge), Log Liq Wealth (lower edge), Log Liq Wealth (upper edge), Probability
8.294049640102028, 8.448993399254363, 0.0, 0.7453716929240793, 0.07095846087430382
8.294049640102028, 8.448993399254363, 0.7453716929240793, 1.4907433858481587, 0.06537800385729238
8.294049640102028, 8.448993399254363, 1.4907433858481587, 2.236115078772238, 0.06306031942455802
8.294049640102028, 8.448993399254363, 2.236115078772238, 2.9814867716963174, 0.0
8.294049640102028, 8.448993399254363, 2.9814867716963174, 3.726858464620397, 0.0
8.294049640102028, 8.448993399254363, 3.726858464620397, 4.472230157544476, 0.01726547373826937
8.294049640102028, 8.448993399254363, 4.472230157544476, 5.217601850468555, 0.10593467729777058
8.294049640102028, 8.448993399254363, 5.217601850468555, 5.962973543392635, 0.09292425599689656
8.294049640102028, 8.448993399254363, 5.962973543392635, 6.708345236316714, 0.14155481460954444
8.294049640102028, 8.448993399254363, 6.708345236316714, 7.453716929240794, 0.09922879303558496
8.294049640102028, 8.448993399254363, 7.453716929240794, 8.199088622164872, 0.0
8.294049640102028, 8.448993399254363, 8.199088622164872, 8.944460315088952, 0.17791622164999835
8.294049640102028, 8.448993399254363, 8.944460315088952, 9.689832008013031, 0.09734462006898834
8.294049640102028, 8.448993399254363, 9.689832008013031, 10.43520370093711, 0.05963197024457466
8.294049640102028, 8.448993399254363, 10.43520370093711, 11.18057539386119, 0.008802389202218597
8.294049640102028, 8.448993399254363, 11.18057539386119, 11.92594708678527, 0.0
8.294049640102028, 8.448993399254363, 11.92594708678527, 12.671318779709349, 0.0
8.294049640102028, 8.448993399254363, 12.671318779709349, 13.416690472633428, 0.0
8.294049640102028, 8.448993399254363, 13.416690472633428, 14.162062165557508, 0.0
8.294049640102028, 8.448993399254363, 14.162062165557508, 14.907433858481587, 0.0
8.448993399254363, 8.603937158406696, 0.0, 0.7453716929240793, 0.054254497058348936
8.448993399254363, 8.603937158406696, 0.7453716929240793, 1.4907433858481587, 0.0
8.448993399254363, 8.603937158406696, 1.4907433858481587, 2.236115078772238, 0.07981716400163653
